Gene,ABE-MEM 1h,ABE-MEM 3h A,ABE-MEM 3h B,ABE-NES 1h,ABE-NES 3h A,ABE-NES 3h B,ABE-NLS 1h,ABE-NLS 3h A,ABE-NLS 3h B,ABE-ACT 1h A,ABE-ACT 1h B,ABE-ACT 3h A,ABE-ACT 3h B,ABE-NM 1h A,ABE-NM 1h B,ABE-NM 3h A,ABE-NM 3h B,ABE-LD 1h A,ABE-LD 1h B,ABE-LD 3h A,ABE-LD 3h B,ABE-GOL 1h A,ABE-GOL 1h B,ABE-GOL 3h A,ABE-GOL 3h B,ABE-ERM 1h A,ABE-ERM 1h B,ABE-ERM 3h A,ABE-ERM 3h B,ABE-LAMP1 1h A,ABE-LAMP1 1h B,ABE-LAMP1 3h A,ABE-LAMP1 3h B,ABE-LC3 1h A,ABE-LC3 1h B,ABE-LC3 3h A,ABE-LC3 3h B,ABE-NOLS 1h A,ABE-NOLS 1h B,ABE-NOLS 3h A,ABE-NOLS 3h B,ABE-NUP 1h A,ABE-NUP 1h B,ABE-NUP 3h A,ABE-NUP 3h B,ABE-OMM 1h A,ABE-OMM 1h B,ABE-OMM 3h A,ABE-OMM 3h B,ABE-PLIN2 1h A,ABE-PLIN2 1h B,ABE-PLIN2 3h A,ABE-PLIN2 3h B,ABE-PTS1 1h A,ABE-PTS1 1h B,ABE-PTS1 3h A,ABE-PTS1 3h B,ABE-RAB10 1h A,ABE-RAB10 1h B,ABE-RAB10 3h A,ABE-RAB10 3h B,ABE-RABIF 1h A,ABE-RABIF 1h B,ABE-RABIF 3h A,ABE-RABIF 3h B,ABE-SQSTM1 1h A,ABE-SQSTM1 1h B,ABE-SQSTM1 3h A,ABE-SQSTM1 3h B,ABE-HSPA8-CH 1h A,ABE-HSPA8-CH 1h B,ABE-HSPA8-CH 3h A,ABE-HSPA8-CH 3h B,ABE-HSPA8-NC 1h A,ABE-HSPA8-NC 1h B,ABE-HSPA8-NC 3h A,ABE-HSPA8-NC 3h B,ABE-LAMP2A 1h A,ABE-LAMP2A 1h B,ABE-LAMP2A 3h A,ABE-LAMP2A 3h B,ABE-LMNA 1h A,ABE-LMNA 1h B,ABE-LMNA 3h A,ABE-LMNA 3h B,ABE-TDP208 1h A,ABE-TDP208 1h B,ABE-TDP208 3h A,ABE-TDP208 3h B
GINS2,0.0,0.0,1.0,7.0,35.0,87.0,0.0,0.0,0.0,0.0,14.0,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,,,0.0,0.0,0.0,6.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,12.0,11.0,14.0
CATSPER2,0.0,0.0,0.0,11.0,16.0,19.0,0.0,5.0,0.0,0.0,0.0,,0.0,,6.0,,4.0,0.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,,0.0,0.0,0.0,23.0,1.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,15.0,1.0,0.0
RPL13A,0.0,0.0,1.0,21.0,66.0,100.0,0.0,0.0,13.0,12.0,1.0,24.0,19.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,27.0,201.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,3.0,0.0,5.0,4.0,8.0,6.0,0.0,7.0,16.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0
SLC31A1,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,17.0,,,,,,0.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,
RPP21,2.0,6.0,13.0,273.0,686.0,499.0,124.0,220.0,79.0,170.0,108.0,35.0,116.0,0.0,1.0,4.0,5.0,7.0,6.0,41.0,9.0,0.0,2.0,3.0,1.0,19.0,78.0,61.0,113.0,0.0,5.0,18.0,3.0,153.0,321.0,198.0,161.0,44.0,46.0,22.0,86.0,1.0,6.0,1.0,12.0,33.0,86.0,54.0,200.0,0.0,4.0,3.0,1.0,76.0,278.0,120.0,97.0,33.0,105.0,30.0,192.0,136.0,217.0,68.0,104.0,11.0,203.0,17.0,46.0,4.0,124.0,5.0,31.0,11.0,3.0,22.0,0.0,0.0,0.0,9.0,2.0,15.0,2.0,21.0,28.0,38.0,27.0,38.0,188.0
RAB9A,1.0,0.0,0.0,11.0,20.0,40.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,23.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,12.0,28.0,22.0,31.0,11.0,0.0,21.0,2.0,0.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,6.0,6.0,8.0
ACSM5,8.0,15.0,20.0,447.0,1515.0,2799.0,33.0,197.0,300.0,282.0,222.0,83.0,142.0,9.0,7.0,10.0,43.0,39.0,193.0,45.0,302.0,4.0,2.0,5.0,1.0,52.0,185.0,112.0,205.0,1.0,11.0,3.0,121.0,485.0,703.0,290.0,449.0,20.0,76.0,30.0,270.0,13.0,18.0,4.0,39.0,87.0,401.0,198.0,590.0,1.0,19.0,3.0,12.0,527.0,820.0,215.0,305.0,183.0,139.0,125.0,145.0,229.0,366.0,177.0,178.0,91.0,485.0,56.0,211.0,5.0,15.0,28.0,1.0,0.0,2.0,2.0,10.0,2.0,1.0,3.0,12.0,14.0,9.0,35.0,278.0,138.0,176.0,115.0,1266.0
ANK1,34.0,81.0,161.0,614.0,1387.0,1369.0,58.0,168.0,194.0,220.0,61.0,136.0,72.0,7.0,31.0,38.0,23.0,193.0,126.0,324.0,233.0,8.0,19.0,0.0,12.0,79.0,413.0,152.0,221.0,2.0,17.0,10.0,69.0,281.0,356.0,311.0,335.0,55.0,13.0,45.0,238.0,4.0,19.0,18.0,49.0,161.0,571.0,245.0,1096.0,0.0,2.0,6.0,2.0,238.0,347.0,232.0,299.0,232.0,173.0,135.0,540.0,250.0,606.0,61.0,138.0,37.0,60.0,36.0,297.0,8.0,2.0,11.0,3.0,4.0,3.0,3.0,10.0,4.0,4.0,1.0,0.0,24.0,1.0,28.0,77.0,89.0,87.0,144.0,424.0
RNF183,4.0,4.0,0.0,151.0,410.0,195.0,0.0,72.0,0.0,40.0,10.0,57.0,9.0,0.0,2.0,13.0,5.0,32.0,9.0,37.0,10.0,1.0,0.0,5.0,1.0,15.0,81.0,98.0,102.0,0.0,3.0,4.0,18.0,135.0,154.0,94.0,76.0,11.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,31.0,154.0,70.0,300.0,0.0,2.0,1.0,2.0,36.0,93.0,98.0,124.0,68.0,38.0,21.0,120.0,33.0,166.0,32.0,50.0,11.0,11.0,1.0,0.0,13.0,3.0,17.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,14.0,56.0,18.0,38.0,11.0,97.0
RAPGEF3,0.0,0.0,0.0,22.0,58.0,63.0,0.0,30.0,1.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,60.0,4.0,28.0,0.0,0.0,7.0,13.0,0.0,7.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,102.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
